time,target_idx,range_m,azimuth_deg,deg_error
0.01,2,400.0000,359.9141,-0.1000
0.01,4,899.9971,0.0127,0.0000
0.02,2,400.0000,359.8281,-0.1000
0.02,4,899.9883,0.0255,0.1000
0.03,2,400.0000,359.7422,-0.1000
0.03,4,899.9736,0.0382,0.2000
0.04,2,400.0000,359.6562,-0.1000
0.04,4,899.9530,0.0509,0.3000
0.05,2,400.0000,359.5703,-0.1000
0.05,4,899.9266,0.0636,0.4000
0.06,2,400.0000,359.4843,-0.1000
0.06,4,899.8943,0.0763,0.5000
0.07,2,400.0000,359.3984,-0.1000
0.07,4,899.8562,0.0891,0.6000
0.08,2,400.0000,359.3125,-0.1000
0.08,4,899.8122,0.1018,0.7000
0.09,2,400.0000,359.2265,-0.1000
0.09,4,899.7623,0.1144,0.8000
0.1,2,400.0000,359.1406,-0.1000
0.1,4,899.7066,0.1271,0.8000
0.11,2,400.0000,359.0546,-0.1000
0.11,4,899.6449,0.1398,0.9000
0.12,2,400.0000,358.9687,-0.2000
0.12,4,899.5775,0.1524,1.0000
0.13,2,400.0000,358.8827,-0.2000
0.13,4,899.5041,0.1651,1.1000
0.14,2,400.0000,358.7968,-0.2000
0.14,4,899.4249,0.1777,1.2000
0.15,2,400.0000,358.7108,-0.2000
0.15,4,899.3399,0.1903,1.3000
0.16,2,400.0000,358.6249,-0.2000
0.16,4,899.2490,0.2028,1.4000
0.17,2,400.0000,358.5390,-0.2000
0.17,4,899.1522,0.2154,1.5000
0.18,2,400.0000,358.4530,-0.2000
0.18,4,899.0496,0.2279,1.6000
0.19,2,400.0000,358.3671,-0.2000
0.19,4,898.9411,0.2405,1.7000
0.2,2,400.0000,358.2811,-0.2000
0.2,4,898.8267,0.2529,1.8000
0.21,2,400.0000,358.1952,-0.2000
0.21,4,898.7066,0.2654,1.9000
0.22,2,400.0000,358.1092,-0.2000
0.22,4,898.5805,0.2778,2.0000
0.23,2,400.0000,358.0233,-0.2000
0.23,4,898.4487,0.2903,2.1000
0.24,2,400.0000,357.9374,-0.2000
0.24,4,898.3110,0.3026,2.1000
0.25,2,400.0000,357.8514,-0.2000
0.25,4,898.1674,0.3150,2.2000
0.26,2,400.0000,357.7655,-0.2000
0.26,4,898.0180,0.3273,2.3000
0.27,2,400.0000,357.6795,-0.2000
0.27,4,897.8628,0.3396,2.4000
0.28,2,400.0000,357.5936,-0.2000
0.28,4,897.7018,0.3518,2.5000
0.29,2,400.0000,357.5076,-0.3000
0.29,4,897.5349,0.3640,2.6000
0.3,2,400.0000,357.4217,-0.3000
0.3,4,897.3622,0.3762,2.7000
0.31,2,400.0000,357.3357,-0.3000
0.31,4,897.1836,0.3884,2.8000
0.32,2,400.0000,357.2498,-0.3000
0.32,4,896.9993,0.4005,2.9000
